PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
19562,1,2021,LAC,30,Austin Ekeler,RB,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,175.10,813.60,4.7,4.10,0.00,113.10,83.30,692.90,8.3,3.60,0.00,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.05,RB,,0.00,38,39,235.70,0.00,0.00,0.00,0.00,0.00,278.75,13.10,6.50,29
19837,1,2021,LAC,33,Derwin James Jr.,SS,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.60,29.30,0.70,0.30,2.10,0.60,3.40,1.00,0.50,0.00,0.80,0.10,0.00,0.00,0.00,0.00,0.00,0.00,86.26,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1162.00,1198.00,29
19859,1,2021,LAC,42,Uchenna Nwosu,OLB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.70,18.80,13.60,5.80,40.60,12.20,2.50,0.70,0.30,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,96.36,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1172.00,1208.00,29
19881,1,2021,LAC,93,Justin Jones,DT,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.40,17.20,2.40,1.00,7.00,2.10,0.80,0.80,0.40,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,55.80,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1184.00,1220.00,29
19940,1,2021,LAC,44,Kyzir White,ILB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.20,16.60,0.90,0.40,2.80,0.80,1.20,0.30,0.20,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.48,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1219.00,1255.00,29
20064,1,2021,LAC,22,Justin Jackson,RB,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,78.60,352.90,4.5,1.80,0.00,21.90,17.60,125.40,6.9,0.40,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.23,RB,,0.00,2,1,69.03,0.00,0.00,0.00,0.00,0.00,78.23,160.50,239.00,29
20144,1,2021,LAC,4,Michael Badgley,K,ST,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,K,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1283.00,1319.00,29
20418,1,2021,LAC,36,Trey Marshall,SS,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,1.60,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1326.00,1362.00,29
20434,1,2021,LAC,28,Brandon Facyson,CB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,6.50,0.00,0.00,0.00,0.00,1.00,0.20,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.45,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1329.00,1365.00,29
20717,1,2021,LAC,16,Tristan Vizcaino,K,ST,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.50,27.10,42.40,0.00,0.00,0.00,123.70,K,,44.60,0,0,123.70,0.00,0.00,0.00,0.00,0.00,123.70,388.00,462.00,29
20721,1,2021,LAC,20,Tevaughn Campbell,CB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,15.50,0.20,0.10,0.70,0.20,4.10,0.70,0.30,0.10,1.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,51.62,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1362.00,1398.00,29
